CustomerID,Gender,Age,MaritalStatus,Education,Income,Spent,CampaignChannel,CampaignType,Response,JoinDate,LastPurchaseDate
C0042,Female,33,Single,Bachelor,65184,12755,Web Ads,Discount,0,2021-11-05,2022-07-08
C0043,Male,56,Divorced,High School,54664,9771,Social Media,New Product,1,2021-01-25,2021-06-15
C0044,Female,40,Single,Bachelor,48688,5697,Phone,Discount,0,2022-01-14,2022-09-09
C0045,Male,37,Married,Bachelor,54556,3104,Phone,Newsletter,0,2020-12-11,2021-01-23
C0046,Female,24,Single,Master,67483,7262,Phone,Discount,0,2021-10-30,2022-01-30
C0047,Male,22,Married,PhD,37630,7664,Phone,Discount,1,2020-04-21,2020-09-09
C0048,Female,42,Married,High School,84752,7717,Social Media,New Product,1,2022-04-02,2023-03-31
C0049,Female,45,Married,Bachelor,68622,13205,Social Media,New Product,0,2019-01-24,2019-08-25
C0050,Male,56,Single,Master,51961,8623,Social Media,Loyalty Program,0,2019-11-08,2020-08-30
C0051,Female,43,Single,Master,72201,6091,Email,New Product,1,2022-06-15,2023-05-26
C0052,Female,68,Single,Bachelor,78335,8015,Email,Discount,0,2020-04-06,2021-02-25
C0053,Female,38,Single,Master,55044,8215,Email,Discount,0,2023-01-25,2023-10-19
C0054,Female,70,Divorced,High School,56751,7586,Web Ads,Newsletter,0,2022-06-15,2023-04-12
C0055,Female,44,Single,Master,82402,16951,Email,Discount,0,2019-01-22,2019-06-05
C0056,Female,40,Married,High School,91784,18070,Email,Discount,0,2019-06-29,2019-12-06
C0057,Male,31,Married,Bachelor,60441,9967,Email,New Product,1,2021-03-01,2021-11-12
C0058,Male,60,Single,Master,42626,9141,Phone,Discount,0,2020-12-30,2021-07-02
C0059,Male,52,Married,High School,52940,8604,Email,New Product,0,2023-02-07,2023-12-15
C0060,Male,69,Single,Bachelor,75495,18336,Social Media,Loyalty Program,0,2021-01-18,2021-04-17
C0061,Male,23,Single,Bachelor,44546,4162,Email,Loyalty Program,0,2020-12-16,2021-04-11
C0062,Male,61,Single,PhD,56875,10967,Web Ads,Loyalty Program,0,2019-12-05,2020-10-09
C0063,Female,26,Married,Master,64388,7983,Web Ads,Discount,0,2020-06-14,2021-04-24
C0064,Male,41,Married,Master,46159,4883,Web Ads,New Product,0,2020-11-22,2021-11-10
C0065,Male,52,Married,Bachelor,76446,6580,Social Media,Discount,0,2019-06-11,2019-08-17
C0066,Female,36,Married,Master,70409,11300,Social Media,Discount,0,2021-12-20,2022-03-30
C0067,Male,43,Single,Bachelor,90143,8391,Social Media,New Product,0,2022-01-13,2022-06-06
C0068,Female,53,Married,Bachelor,71721,6459,Social Media,Discount,0,2020-05-04,2021-04-28
C0069,Male,47,Married,Master,45586,11310,Social Media,Loyalty Program,0,2019-01-05,2019-07-02
C0070,Female,62,Single,Bachelor,67955,14294,Email,Loyalty Program,0,2019-03-17,2020-02-23
C0071,Female,60,Single,High School,74820,14938,Phone,Newsletter,0,2022-06-30,2022-11-08
C0072,Male,58,Married,High School,75592,15784,Email,Loyalty Program,0,2019-01-07,2019-09-09
C0073,Male,41,Single,High School,48347,11786,Social Media,Discount,0,2020-11-11,2021-02-04
C0074,Female,68,Married,Master,46554,7665,Social Media,Discount,0,2020-04-17,2021-03-01
C0075,Female,36,Single,Bachelor,42905,4035,Social Media,Discount,0,2022-03-07,2022-04-08
C0076,Female,53,Single,Master,84070,18700,Web Ads,Discount,0,2022-10-13,2023-09-20
C0077,Female,25,Single,Bachelor,69343,13767,Phone,Discount,0,2021-03-22,2021-06-12
C0078,Male,65,Single,High School,47681,6334,Phone,Discount,1,2021-04-17,2021-07-23
C0079,Male,25,Married,Bachelor,61907,8958,Social Media,New Product,0,2020-08-25,2020-12-15
C0080,Male,53,Married,Master,58144,7689,Email,Loyalty Program,0,2022-04-01,2022-07-13
C0081,Female,20,Married,Bachelor,45411,10716,Social Media,Loyalty Program,0,2019-11-14,2020-10-04
C0082,Female,29,Married,Master,60542,7186,Web Ads,New Product,0,2023-01-21,2023-10-23
C0083,Male,40,Married,Bachelor,62860,15255,Web Ads,New Product,0,2022-06-30,2023-03-19
C0084,Male,24,Married,Bachelor,88968,20645,Phone,New Product,0,2022-05-09,2022-07-15
C0085,Male,21,Single,Bachelor,50164,8834,Email,Loyalty Program,0,2022-04-03,2022-04-21
C0086,Male,41,Married,Master,34359,5702,Email,Discount,0,2019-08-20,2019-09-11
C0087,Female,67,Married,Master,44265,5489,Social Media,Loyalty Program,1,2019-11-24,2020-04-12
C0088,Female,21,Single,High School,46610,2501,Web Ads,New Product,0,2019-08-26,2020-04-13
C0089,Female,29,Married,Bachelor,53596,4047,Phone,Discount,0,2022-02-17,2023-01-21
C0090,Female,53,Single,Bachelor,44302,8897,Web Ads,Discount,0,2021-08-07,2022-01-16
C0091,Male,35,Married,Master,72331,10437,Social Media,Discount,0,2021-06-13,2021-09-01
C0092,Female,67,Married,High School,43259,3459,Email,New Product,0,2020-09-10,2021-08-30
C0093,Female,70,Married,Master,60300,6198,Email,Loyalty Program,0,2019-09-07,2019-10-06
C0094,Female,58,Married,PhD,90002,21561,Email,Discount,0,2022-09-21,2022-12-20
C0095,Female,41,Married,High School,68303,8430,Social Media,Discount,0,2022-07-31,2023-03-25
C0096,Female,31,Married,Master,66761,15457,Email,Newsletter,0,2019-07-17,2020-07-06
C0097,Female,43,Married,High School,87859,9745,Phone,Discount,0,2020-02-20,2020-03-19
C0098,Male,66,Single,High School,78684,12482,Phone,Discount,0,2021-01-01,2021-06-24
C0099,Male,59,Married,High School,68476,3704,Social Media,Discount,0,2022-11-19,2023-03-15
C0100,Male,57,Married,High School,55339,8542,Email,Loyalty Program,0,2021-07-26,2022-07-18
C0101,Male,29,Divorced,Master,59659,10582,Email,New Product,0,2022-03-20,2022-10-29
C0102,Female,54,Married,High School,58930,5708,Phone,New Product,0,2022-07-12,2023-03-17
C0103,Male,70,Married,High School,53978,8948,Social Media,Newsletter,0,2022-05-28,2022-10-31
C0104,Female,68,Married,High School,63180,11336,Social Media,Loyalty Program,1,2022-05-24,2022-11-30
C0105,Female,51,Married,High School,65261,12228,Web Ads,Discount,0,2022-08-31,2023-08-11
C0106,Male,26,Married,High School,41330,8484,Social Media,Loyalty Program,1,2019-08-04,2020-02-27
C0107,Male,40,Single,Bachelor,84480,9484,Social Media,Discount,0,2022-09-20,2023-07-13
C0108,Female,39,Married,High School,66146,10818,Phone,Loyalty Program,0,2022-10-14,2022-12-15
C0109,Male,45,Married,Master,56058,13807,Web Ads,Discount,0,2022-03-30,2022-12-04
C0110,Male,23,Married,Master,63317,14539,Phone,Loyalty Program,0,2021-03-25,2022-01-18
C0111,Male,65,Single,High School,73955,17788,Social Media,Discount,0,2020-09-01,2021-06-24
C0112,Male,41,Married,Master,37999,4834,Social Media,Newsletter,0,2020-05-25,2020-12-08
C0113,Female,34,Married,High School,58424,12116,Phone,Discount,1,2021-07-06,2021-07-21
C0114,Female,59,Single,High School,42212,7344,Social Media,New Product,0,2019-06-06,2020-03-24
C0115,Female,40,Married,High School,99855,6645,Phone,Discount,0,2019-06-11,2020-03-09
C0116,Female,34,Married,Bachelor,62072,13332,Web Ads,Newsletter,0,2019-02-11,2019-04-10
C0117,Female,41,Married,Bachelor,42333,7849,Web Ads,Loyalty Program,0,2022-04-18,2023-04-14
C0118,Male,47,Divorced,Master,113992,10234,Email,Discount,0,2019-10-30,2020-05-26
C0119,Female,33,Married,Bachelor,51959,3426,Email,Newsletter,0,2022-09-15,2022-11-23
C0120,Female,46,Married,Master,56863,12362,Email,Discount,0,2021-10-10,2021-11-21
C0121,Female,60,Married,High School,57948,3811,Phone,Loyalty Program,0,2021-02-02,2021-12-11
C0122,Female,59,Single,Master,47280,3227,Social Media,Loyalty Program,0,2022-12-23,2023-09-02
C0123,Male,47,Single,High School,63710,8631,Email,Discount,0,2022-10-05,2023-04-04
C0124,Male,45,Married,High School,26838,2065,Email,Newsletter,0,2019-04-30,2019-12-02
C0125,Male,68,Single,High School,76288,17754,Social Media,Discount,1,2022-01-03,2022-10-22
C0126,Male,21,Married,High School,43082,6206,Email,Discount,1,2020-11-04,2020-12-05
C0127,Female,44,Married,Bachelor,53770,8809,Email,Newsletter,0,2020-10-22,2020-12-17
C0128,Female,22,Married,Master,71272,16793,Phone,Loyalty Program,0,2019-05-03,2020-04-25
C0129,Male,27,Married,High School,56933,8884,Email,Discount,0,2020-10-14,2021-03-30
C0130,Female,63,Married,Master,57546,6946,Email,Discount,0,2022-04-20,2023-01-12
C0131,Male,52,Married,Bachelor,44818,9386,Web Ads,Loyalty Program,0,2021-07-09,2021-12-08
C0132,Male,61,Married,Master,91434,12670,Web Ads,Discount,1,2021-10-10,2021-12-05
C0133,Male,54,Single,High School,67972,7728,Social Media,Newsletter,0,2021-02-27,2021-04-04
C0134,Male,25,Married,Bachelor,43758,8517,Email,Loyalty Program,0,2019-09-14,2019-10-20
C0135,Female,58,Married,Master,62672,13181,Phone,Discount,0,2021-01-26,2021-06-29
C0136,Male,42,Married,Bachelor,42697,8895,Social Media,Discount,1,2020-08-20,2020-11-12
C0137,Female,44,Married,Bachelor,85836,21075,Email,New Product,1,2022-07-16,2023-01-28
C0138,Female,69,Single,High School,62994,13060,Email,Discount,0,2022-04-18,2022-05-07
C0139,Male,62,Married,High School,45366,9254,Email,Loyalty Program,0,2021-03-01,2021-07-09
C0140,Female,38,Married,Bachelor,70463,15607,Social Media,Newsletter,0,2022-03-18,2023-01-10
C0141,Female,24,Married,Master,55828,2793,Web Ads,New Product,0,2022-03-17,2022-09-07
C0142,Male,70,Divorced,High School,40676,4982,Phone,New Product,0,2020-11-10,2021-08-10
C0143,Female,30,Married,Bachelor,65715,12980,Social Media,Discount,0,2021-10-29,2022-04-17
C0144,Male,31,Divorced,Bachelor,65292,11095,Social Media,Loyalty Program,0,2022-04-16,2023-03-18
C0145,Male,29,Divorced,Bachelor,77066,6590,Social Media,Loyalty Program,0,2021-03-06,2022-01-06
C0146,Male,27,Married,Bachelor,60967,6751,Social Media,Loyalty Program,0,2022-11-19,2023-03-26
C0147,Female,43,Married,Master,61605,7229,Email,Discount,0,2020-08-30,2021-07-16
C0148,Female,47,Single,Bachelor,62401,10206,Phone,Newsletter,0,2019-11-27,2020-08-25
C0149,Male,60,Married,Master,83929,18155,Web Ads,Discount,0,2019-02-25,2019-05-29
C0150,Male,55,Married,High School,55348,13089,Social Media,Loyalty Program,0,2022-05-15,2022-10-17
C0151,Female,56,Single,High School,67041,13409,Web Ads,Loyalty Program,0,2019-04-15,2019-10-12
C0152,Male,40,Single,High School,69251,15137,Social Media,Loyalty Program,1,2020-06-30,2021-06-08
C0153,Male,27,Divorced,High School,65246,9396,Social Media,Discount,0,2021-03-03,2022-01-15
C0154,Female,28,Married,High School,54781,7009,Email,New Product,0,2022-10-10,2022-11-02
C0155,Female,66,Married,High School,61809,7945,Phone,Discount,0,2020-05-03,2020-10-08
C0156,Male,34,Married,Master,58595,10149,Web Ads,Loyalty Program,0,2021-12-09,2022-08-26
C0157,Female,67,Single,High School,89388,6690,Phone,Discount,1,2022-01-15,2022-03-22
C0158,Female,65,Single,Master,53133,8814,Email,Discount,0,2019-10-30,2020-10-20
C0159,Male,59,Single,High School,46311,8476,Email,Discount,0,2021-10-21,2022-08-28
C0160,Female,37,Single,Master,59906,8253,Social Media,Loyalty Program,1,2022-11-05,2023-10-27
C0161,Male,61,Single,Master,58849,14161,Social Media,New Product,0,2020-10-11,2021-03-02
C0162,Female,39,Divorced,High School,62952,10805,Social Media,Loyalty Program,0,2020-10-09,2021-04-06
C0163,Female,25,Married,Master,53138,4994,Web Ads,Loyalty Program,0,2022-10-17,2023-02-05
C0164,Female,31,Single,Bachelor,61655,8991,Phone,Loyalty Program,0,2020-01-16,2020-05-10
C0165,Male,21,Single,Master,61944,11464,Social Media,Discount,0,2019-06-11,2019-12-08
C0166,Female,26,Married,Bachelor,73589,8442,Email,Loyalty Program,0,2019-01-19,2019-06-05
C0167,Male,35,Single,Bachelor,61395,4047,Email,New Product,0,2021-08-31,2022-05-17
C0168,Male,22,Divorced,Master,61537,10257,Phone,Discount,0,2019-08-31,2019-10-11
C0169,Male,64,Married,Bachelor,67745,16229,Web Ads,Discount,0,2019-05-09,2019-12-20
C0170,Female,22,Married,High School,73014,10734,Phone,Discount,1,2022-04-14,2023-01-10
C0171,Female,46,Single,Master,45244,10461,Social Media,Discount,1,2020-02-13,2021-01-17
C0172,Male,69,Single,Bachelor,41215,8943,Email,Discount,0,2021-03-02,2021-11-10
C0173,Female,62,Married,Bachelor,85432,6790,Web Ads,Discount,0,2021-07-31,2022-05-21
C0174,Male,59,Married,High School,70561,13521,Web Ads,New Product,0,2022-01-12,2022-11-07
C0175,Female,57,Married,Bachelor,56709,7774,Social Media,Discount,1,2022-10-31,2023-07-30
C0176,Male,52,Single,PhD,60295,6032,Email,Discount,0,2019-08-10,2020-07-21
C0177,Female,47,Married,High School,54111,10139,Social Media,Newsletter,1,2022-09-10,2023-08-18
C0178,Male,20,Married,Bachelor,63169,12541,Web Ads,New Product,1,2023-01-14,2023-12-03
C0179,Female,27,Married,Bachelor,45422,3905,Phone,Discount,0,2022-12-10,2023-03-14
C0180,Male,56,Single,Master,72602,16908,Phone,New Product,0,2020-03-20,2021-02-21
C0181,Male,51,Single,Bachelor,62631,12540,Email,Discount,0,2020-09-09,2020-11-02
C0182,Male,67,Married,Bachelor,63174,14951,Email,Discount,0,2022-09-10,2023-07-19
C0183,Female,62,Married,Master,46590,5283,Email,Discount,0,2020-06-06,2021-05-14
C0184,Female,56,Married,Bachelor,67864,16142,Web Ads,Newsletter,0,2019-06-15,2020-01-10
C0185,Male,23,Married,High School,46935,5806,Social Media,Loyalty Program,0,2020-12-08,2021-07-06
C0186,Female,49,Married,High School,49617,3016,Phone,Loyalty Program,0,2021-01-12,2021-12-16
C0187,Female,25,Married,Bachelor,61314,12421,Email,Newsletter,1,2022-06-15,2022-12-09
C0188,Female,65,Married,High School,97609,18614,Web Ads,Newsletter,0,2021-10-05,2022-06-11
C0189,Female,38,Divorced,High School,62571,10610,Web Ads,Loyalty Program,0,2021-07-01,2022-04-22
C0190,Male,51,Married,Master,21467,3176,Email,Loyalty Program,0,2021-11-02,2022-05-20
C0191,Male,28,Divorced,High School,50362,2842,Web Ads,Discount,0,2022-07-04,2022-09-22
C0192,Female,31,Married,Master,70255,12288,Email,Discount,0,2022-05-18,2022-10-19
C0193,Female,30,Single,High School,43073,5744,Email,New Product,0,2019-12-31,2020-08-05
C0194,Female,65,Married,Master,72466,11742,Email,New Product,1,2019-08-13,2020-03-17
C0195,Male,35,Single,Master,62382,8475,Web Ads,Newsletter,0,2021-09-22,2022-05-11
C0196,Male,20,Divorced,High School,74869,18208,Web Ads,New Product,0,2019-07-13,2020-05-04
C0197,Female,64,Married,Bachelor,51617,8817,Social Media,Loyalty Program,0,2022-05-04,2022-10-23
C0198,Female,40,Single,High School,50448,10081,Phone,New Product,0,2022-11-24,2023-02-13
C0199,Female,49,Married,Master,68474,16246,Phone,Discount,0,2019-02-26,2019-11-02
C0200,Female,32,Divorced,Master,59887,10080,Web Ads,New Product,0,2019-08-01,2019-12-15
C0201,Female,53,Single,Bachelor,58979,3091,Email,New Product,0,2022-07-26,2022-10-28
C0202,Male,23,Married,Bachelor,83534,4749,Social Media,New Product,0,2022-11-04,2022-11-28
C0203,Male,47,Married,Bachelor,69062,13154,Phone,New Product,0,2019-04-27,2020-01-09
C0204,Female,57,Married,Master,30151,3190,Email,Discount,0,2023-01-14,2023-12-01
C0205,Female,50,Married,Bachelor,71986,11940,Social Media,New Product,0,2020-08-21,2021-06-09
C0206,Male,46,Single,High School,70484,6375,Phone,New Product,0,2020-02-14,2020-02-25
C0207,Male,24,Single,Bachelor,77773,8092,Email,New Product,0,2022-10-22,2023-01-13
C0208,Female,44,Married,High School,45904,6928,Web Ads,New Product,1,2021-03-22,2021-06-03
C0209,Male,22,Married,Master,64872,15901,Email,Discount,0,2021-07-17,2022-04-13
C0210,Male,52,Divorced,High School,61674,10685,Web Ads,Discount,0,2022-02-10,2023-02-01
C0211,Female,23,Single,Bachelor,45635,10825,Email,Discount,1,2022-04-02,2023-03-01
C0212,Female,44,Married,High School,74201,17947,Email,New Product,0,2019-01-04,2019-09-09
C0213,Female,39,Single,High School,56376,5165,Email,New Product,1,2019-01-23,2020-01-04
C0214,Male,53,Single,Bachelor,77290,8674,Phone,Newsletter,1,2021-07-09,2022-06-24
C0215,Female,45,Married,PhD,48857,9966,Phone,Discount,0,2021-01-14,2021-10-29
C0216,Male,24,Married,Master,38091,8507,Email,Discount,0,2020-08-24,2021-08-21
C0217,Male,54,Married,High School,56361,8670,Email,New Product,0,2021-09-14,2022-04-12
C0218,Female,47,Divorced,High School,63478,15783,Social Media,New Product,0,2022-01-20,2022-11-18
C0219,Female,48,Married,Master,51987,2719,Social Media,New Product,0,2020-04-13,2021-02-02
C0220,Female,28,Divorced,Bachelor,20000,2198,Phone,Loyalty Program,0,2021-08-27,2022-04-14
C0221,Female,57,Married,High School,65754,11482,Email,Loyalty Program,0,2022-03-24,2022-09-11
C0222,Female,69,Married,Master,65684,9449,Social Media,Discount,0,2020-09-18,2021-03-29
C0223,Male,25,Married,Master,70307,5154,Phone,Newsletter,0,2019-07-26,2020-04-25
C0224,Male,38,Married,PhD,54292,6708,Web Ads,Discount,0,2021-10-10,2022-02-28
C0225,Male,63,Single,Master,53474,2945,Phone,New Product,0,2019-03-22,2020-02-16
C0226,Male,30,Married,Master,81604,14570,Email,Loyalty Program,0,2020-09-06,2021-01-13
C0227,Female,21,Single,High School,36368,8311,Email,Loyalty Program,1,2020-04-27,2020-12-11
C0228,Male,66,Married,High School,56293,12777,Social Media,Discount,0,2020-08-14,2021-01-30
C0229,Female,63,Married,Bachelor,62134,11799,Social Media,Discount,0,2022-12-01,2023-10-06
C0230,Female,63,Single,Bachelor,69090,9890,Web Ads,New Product,1,2022-01-31,2022-05-29
C0231,Female,28,Single,Bachelor,62546,9532,Phone,Discount,0,2022-06-17,2023-02-19
C0232,Female,40,Divorced,Bachelor,46170,3572,Social Media,Discount,0,2022-07-12,2023-05-10
C0233,Female,43,Married,Bachelor,77514,9162,Social Media,New Product,0,2019-02-02,2019-04-19
C0234,Female,53,Single,Bachelor,60028,5255,Social Media,New Product,0,2019-02-04,2019-12-26
C0235,Male,41,Married,High School,34979,7493,Email,Loyalty Program,1,2022-06-26,2023-01-08
C0236,Female,22,Married,High School,63137,14707,Email,Discount,0,2021-09-26,2021-11-10
C0237,Male,31,Married,Bachelor,67129,10565,Social Media,Loyalty Program,1,2021-12-09,2022-02-05
C0238,Male,47,Divorced,Master,89411,17484,Email,Discount,0,2019-10-07,2020-06-28
C0239,Female,49,Married,High School,66131,4913,Email,Newsletter,1,2019-06-01,2019-09-25
C0240,Male,45,Single,Bachelor,37769,6485,Email,New Product,1,2020-12-01,2020-12-18
C0241,Female,67,Married,Master,38296,7297,Email,New Product,0,2021-01-04,2021-09-06
C0242,Female,40,Married,Bachelor,78880,11086,Email,Newsletter,0,2021-10-15,2022-04-20
C0243,Female,47,Single,High School,47957,4731,Phone,Discount,0,2022-06-07,2023-02-13
C0244,Male,45,Single,Bachelor,36756,8287,Social Media,Discount,1,2020-10-26,2020-12-15
C0245,Male,52,Single,High School,75007,14895,Social Media,New Product,0,2021-07-11,2022-03-22
C0246,Female,40,Married,Master,52863,12156,Social Media,Discount,0,2022-08-04,2022-12-04
C0247,Male,54,Married,High School,74205,15856,Web Ads,New Product,0,2022-11-19,2023-08-11
C0248,Female,53,Married,Bachelor,46279,11480,Email,Discount,0,2020-03-28,2020-09-19
C0249,Female,60,Divorced,High School,82107,7261,Social Media,Newsletter,0,2020-09-11,2021-08-28
C0250,Female,70,Married,Bachelor,73080,4921,Email,New Product,0,2021-11-22,2022-02-17
C0251,Male,66,Single,Bachelor,49159,5771,Social Media,Discount,1,2022-10-18,2023-05-22
C0252,Male,37,Single,High School,35094,2660,Web Ads,Loyalty Program,0,2022-02-08,2022-12-25
C0253,Female,30,Married,Bachelor,94577,14624,Phone,Discount,0,2022-02-18,2022-09-11
C0254,Male,42,Single,High School,56846,10039,Phone,Discount,0,2019-01-16,2019-12-12
C0255,Male,67,Married,Bachelor,48559,8044,Social Media,Discount,0,2021-01-08,2021-03-22
C0256,Female,41,Married,Bachelor,80794,8228,Phone,New Product,1,2020-12-15,2021-05-13
C0257,Female,36,Single,Bachelor,74186,17193,Email,New Product,0,2020-12-14,2021-02-03
C0258,Female,24,Married,Master,77741,4216,Social Media,New Product,0,2019-04-08,2020-02-17
C0259,Female,63,Married,Bachelor,58522,6999,Social Media,Discount,0,2019-04-26,2019-11-30
C0260,Male,30,Married,Bachelor,88215,17095,Social Media,Newsletter,1,2021-08-22,2022-07-01
C0261,Female,49,Single,High School,40340,8204,Email,Loyalty Program,1,2023-02-03,2023-04-26
C0262,Female,34,Married,Bachelor,51719,6890,Web Ads,Discount,0,2023-01-02,2023-06-13
C0263,Male,46,Single,Master,65848,3515,Email,Loyalty Program,0,2022-07-28,2022-12-19
C0264,Female,54,Divorced,High School,77521,13458,Email,New Product,0,2019-12-15,2020-09-13
C0265,Female,52,Single,Master,69917,4378,Social Media,Discount,0,2019-08-20,2020-04-01
C0266,Female,39,Married,High School,58757,4205,Email,Discount,0,2022-02-08,2022-09-14
C0267,Female,35,Married,Master,52872,9519,Phone,Discount,1,2022-10-07,2023-05-08
C0268,Female,53,Divorced,High School,77602,8730,Social Media,Loyalty Program,0,2021-11-01,2022-02-28
C0269,Male,21,Single,Master,71465,8547,Phone,New Product,1,2021-09-10,2021-10-20
C0270,Male,54,Single,Bachelor,46882,6908,Social Media,Discount,0,2020-09-30,2020-10-21
C0271,Female,59,Single,High School,46435,11409,Phone,Discount,0,2019-10-12,2020-02-25
C0272,Female,47,Single,High School,51817,12596,Web Ads,New Product,0,2020-09-27,2021-08-15
C0273,Female,66,Single,Bachelor,49893,6648,Social Media,New Product,0,2020-06-28,2021-01-17
C0274,Female,58,Married,PhD,75447,7778,Social Media,Loyalty Program,0,2020-01-27,2020-06-24
C0275,Female,25,Single,High School,66535,7353,Web Ads,Newsletter,0,2022-04-08,2022-05-14
C0276,Female,28,Single,High School,68366,7093,Email,New Product,0,2019-03-18,2019-05-12
C0277,Female,39,Married,Bachelor,62875,9836,Social Media,New Product,0,2019-10-24,2020-03-16
C0278,Female,20,Single,Bachelor,63581,10896,Email,Discount,0,2019-11-26,2020-10-17
C0279,Female,27,Single,Bachelor,36272,5359,Email,Loyalty Program,0,2021-12-22,2022-02-27
C0280,Female,42,Single,Bachelor,71912,9463,Email,Discount,0,2019-09-27,2019-10-19
C0281,Female,22,Divorced,High School,51547,4755,Social Media,Discount,0,2019-08-04,2019-11-21
C0282,Male,23,Single,Master,59502,8717,Phone,Loyalty Program,0,2022-04-28,2022-06-25
C0283,Male,44,Married,Bachelor,52902,6254,Email,Discount,0,2022-01-03,2022-10-30
C0284,Male,66,Married,High School,62188,9845,Web Ads,Discount,1,2020-05-24,2020-09-04
C0285,Female,57,Single,Master,68596,12692,Social Media,New Product,0,2020-08-01,2020-11-13
C0286,Male,34,Divorced,Bachelor,44867,7926,Web Ads,Discount,0,2022-01-21,2022-06-24
C0287,Female,40,Single,Bachelor,63791,9090,Web Ads,Discount,0,2021-12-12,2022-03-03
C0288,Female,54,Single,Bachelor,53264,8586,Phone,New Product,0,2020-05-10,2020-05-29
C0289,Male,65,Married,High School,79821,8538,Web Ads,New Product,0,2021-08-05,2022-01-23
C0290,Female,33,Married,Bachelor,43280,2373,Phone,Discount,0,2019-04-04,2019-11-13
